country,country_name,year,index
AT,Austria,2020,100.0
AT,Austria,2021,111.43742621015349
AT,Austria,2022,124.32851239669421
AT,Austria,2023,120.7792207792208
AT,Austria,2024,120.32172373081463
AT,Austria,2025,123.47255017709564
BE,Belgium,2020,100.0
BE,Belgium,2021,106.66440850199
BE,Belgium,2022,112.56668642560759
BE,Belgium,2023,115.20873909729868
BE,Belgium,2024,118.90930646117366
BE,Belgium,2025,122.66915064781101
DE,Germany,2020,100.0
DE,Germany,2021,111.53568853640951
DE,Germany,2022,118.31290555155012
DE,Germany,2023,108.36337418889693
DE,Germany,2024,106.70511896178805
DE,Germany,2025,110.09372746935833
ES,Spain,2020,100.0
ES,Spain,2021,103.67843137254901
ES,Spain,2022,111.35686274509804
ES,Spain,2023,115.83529411764705
ES,Spain,2024,125.68627450980392
ES,Spain,2025,141.64705882352942
FR,France,2020,100.0
FR,France,2021,106.43971874464071
FR,France,2022,113.03378494254844
FR,France,2023,112.55359286571772
FR,France,2024,108.3776367689933
FR,France,2025,109.12364945978392
IT,Italy,2020,100.0
IT,Italy,2021,102.58964143426294
IT,Italy,2022,106.47410358565736
IT,Italy,2023,107.86852589641434
IT,Italy,2024,111.25498007968126
IT,Italy,2025,115.73705179282867
NL,Netherlands,2020,100.0
NL,Netherlands,2021,114.48601374331922
NL,Netherlands,2022,129.68695772888182
NL,Netherlands,2023,127.20205455681266
NL,Netherlands,2024,137.59977788575
NL,Netherlands,2025,149.33712778510449
PT,Portugal,2020,100.0
PT,Portugal,2021,109.40193092723385
PT,Portugal,2022,123.22296377891529
PT,Portugal,2023,133.32469383787986
PT,Portugal,2024,145.42862696818503
PT,Portugal,2025,170.96481565476574
